"","term","estimate","std.error","conf.level","conf.low","conf.high","statistic","df.error","p.value","facet","p.stars","p.label","group","xpos","xmin","xmax"
"1","hv104female",0.919673087722134,0.0192934630360793,0.95,0.885542436306737,0.955119205588691,-4.34017528957551,13482,1.43406306833918e-05,"2","***","0.92 ***","neg",12,11.825,12.175
"2","age_cat40-59",1.11902679380082,0.0266510599230767,0.95,1.06206971531112,1.17903838815073,4.2196960940054,13482,2.462323600382e-05,"2","***","1.12 ***","pos",11,10.825,11.175
"3","age_cat60+",0.618184290192494,0.0313534783761068,0.95,0.581336295580463,0.657367894532063,-15.3402010460834,13482,1.14655695957084e-52,"2","***","0.62 ***","neg",10,9.825,10.175
"4","marital_statusdivorced/separated/widowed",1.69925992323464,0.0404612200693295,0.95,1.56969787223414,1.83951595895434,13.1037278681241,13482,5.42479052043023e-39,"2","***","1.70 ***","pos",9,8.825,9.175
"5","marital_statusMarried",2.47002309168831,0.0219014008861579,0.95,2.36622933064311,2.57836972708613,41.2862859393317,13482,0,"2","***","2.47 ***","pos",8,7.825,8.175
"6","edu_catBasic Education",1.14409615761768,0.024891238003403,0.95,1.08961522906141,1.20130114095694,5.4081256733185,13482,6.47737597001564e-08,"2","***","1.14 ***","pos",7,6.825,7.175
"7","edu_catSecondary or Higher",1.39785273632156,0.0282701988659806,0.95,1.32249982576823,1.47749907740564,11.8477164248169,13482,3.19507478051843e-32,"2","***","1.40 ***","pos",6,5.825,6.175
"8","wealth_catMiddle",1.22080307978134,0.0229850154891523,0.95,1.16702182741113,1.27706279745407,8.67995518191846,13482,4.40919160222983e-18,"2","***","1.22 ***","pos",5,4.825,5.175
"9","wealth_catRich",1.39248065971723,0.0222730440945616,0.95,1.33299530639152,1.45462056647109,14.8649103564257,13482,1.37485113809121e-49,"2","***","1.39 ***","pos",4,3.825,4.175
"10","hv025rural",0.920129347988137,0.018538856950845,0.95,0.887293218981729,0.95418064616868,-4.49008390339935,13482,7.17858847512637e-06,"2","***","0.92 ***","neg",3,2.825,3.175
"11","shecoreghill",0.992081410312423,0.040717424520998,0.95,0.91597889128046,1.07450677527254,-0.195250763300697,13482,0.845199582632832,"2","","0.99 ","neg",2,1.825,2.175
"12","shecoregterai",0.480155197202653,0.0401727232043459,0.95,0.443796098418808,0.519493105554863,-18.2622894669581,13482,1.27234478944728e-73,"2","***","0.48 ***","neg",1,0.825,1.175
"13","hv104female",1.10299610198646,0.0207991125613346,0.95,1.05893219228623,1.14889358342265,4.7131917751576,13482,2.46305093349934e-06,"3","***","1.10 ***","pos",12,11.825,12.175
"14","age_cat40-59",1.96429909049582,0.0269782153624548,0.95,1.86312354927929,2.07096889436842,25.0252092538568,13482,3.85325364948607e-135,"3","***","1.96 ***","pos",11,10.825,11.175
"15","age_cat60+",0.616699075038051,0.0331809804419292,0.95,0.577865889413086,0.658141890913584,-14.5678063277546,13482,1.03667749618148e-47,"3","***","0.62 ***","neg",10,9.825,10.175
"16","marital_statusdivorced/separated/widowed",6.83184527322075,0.0437216604771517,0.95,6.27073915411521,7.44315920183007,43.9506365471116,13482,0,"3","***","6.83 ***","pos",9,8.825,9.175
"17","marital_statusMarried",9.80059932704639,0.0256205816653821,0.95,9.32056839798324,10.3053529643198,89.0863279154833,13482,0,"3","***","9.80 ***","pos",8,7.825,8.175
"18","edu_catBasic Education",1.5936003885809,0.0261452110273536,0.95,1.5139885296976,1.67739857249278,17.8233731293677,13482,2.97208945662704e-70,"3","***","1.59 ***","pos",7,6.825,7.175
"19","edu_catSecondary or Higher",2.03576053584748,0.0295969278665979,0.95,1.92101819583484,2.15735643124035,24.0183535253739,13482,7.3709757203004e-125,"3","***","2.04 ***","pos",6,5.825,6.175
"20","wealth_catMiddle",2.11009163887061,0.0251707693682613,0.95,2.00850998557933,2.21681084804135,29.6666091673316,13482,2.03727010579532e-187,"3","***","2.11 ***","pos",5,4.825,5.175
"21","wealth_catRich",4.76557205669415,0.0237096583777404,0.95,4.54916334112403,4.99227557345362,65.8557605046286,13482,0,"3","***","4.77 ***","pos",4,3.825,4.175
"22","hv025rural",0.779992855397082,0.0200081543159886,0.95,0.749994577965014,0.811191003701994,-12.4184627509209,13482,3.23285332884567e-35,"3","***","0.78 ***","neg",3,2.825,3.175
"23","shecoreghill",1.22234511516039,0.0441036817790842,0.95,1.12111289723837,1.33271821619119,4.55225575453579,13482,5.35380408816964e-06,"3","***","1.22 ***","pos",2,1.825,2.175
"24","shecoregterai",0.363937755910161,0.0437999860514004,0.95,0.333995910846666,0.396563807745929,-23.0770033814223,13482,1.35065287453495e-115,"3","***","0.36 ***","neg",1,0.825,1.175
