DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
NP202200000001,NPGE81FL,NP,2022,1,NP2022DHS,1651.146606,1817.257935,1595.598267,1584.839478,1457.043701,85.00468445,63.21203995,82.64147949,68.65859985,76.83578491,19.31835747,19.08387756,18.98582268,18.17619324,18.02606392,10.3497982,10.39424229,10.86452579,10.82777786,10.30237293,5,2140.248047,0.364702344,0.375218749,0.402380615,0.409755379,0.44084546,7.577219009,6.83607769,6.978037834,7.943071365,7.470517635,33.02132034,12,1.160910606,11.80755711,12.40078735,12.85753441,12.09840298,11.95208931,20.90353775,3.56396699,14.85466003,9.04722023,2.334589005,16.30327034,16.86485863,17.73590851,16.38360786,16.22825623,11.10500622,11.63624096,12.27187538,10.94375038,11.04929161,5.943128586,6.463672161,6.866102219,5.547222137,5.918865681,0,4.296754837,5.717696667,6.72924757,6.020613194,5.878114223,2.237716913,2.22309041,2.359693289,2.218822479,2.292867422,190.2164307,140.5260773,195.0085449,152.3412476,176.1742706,2074.165283,1676.555542,2054.267334,1893.32251,1911.452759,10.36697769,11.71708488,15.14915562,18.25056076,19.23181343,20.91108513,21.14513969,20.91196442,20.0686245,18.44493484,14.79265499,11.635355,179.6054688,241.6598663,220.7796173,177.5969391,138.9098969,119.9361725,2575.170654,2656.029053,2487.348389,2153.225342,1665.939209,134.7670135,138.9985962,130.17099,112.6852493,87.18399048,8.946985245,7.570395947,8.216287613,7.123980045,7.70881319
NP202200000002,NPGE81FL,NP,2022,2,NP2022DHS,1184.971436,1095.529541,1268.179321,1248.23938,1370.947144,69.09380341,49.2339859,66.47681427,53.11091232,61.17168045,20.25105667,20.74215317,19.80038261,19.23256874,18.83815575,12.28836823,12.37135506,12.85837746,12.84665871,12.27782154,5,1450.984253,0.375925183,0.393369794,0.403862506,0.431560218,0.456476003,11.5481987,10.96229553,10.79955292,11.91531658,11.60404491,32.52082062,12,0.206578612,12.90100193,13.88461781,14.00326347,13.48717022,12.74579716,48.18247223,8.114664078,29.73230553,8.812236786,2.332156897,15.34835148,15.91510487,16.80672836,15.46210957,15.22304726,9.179471016,9.698568344,10.34496593,9.010546684,9.056380272,3.043750286,3.528472424,3.928515673,2.603038073,2.927560806,0,5.550947189,7.027083397,8.20614624,7.741770744,6.653439045,2.368272543,2.365451336,2.491319418,2.355338573,2.384244919,163.6329498,116.4605942,165.614975,125.0941849,145.8482666,1862.569824,1519.344727,1735.094238,1595.217896,1598.13147,10.2281599,11.66010284,15.39001656,18.30182457,19.4609623,21.06487656,21.18652344,21.03188133,20.11940765,18.38647842,14.41536427,11.30905437,279.6923828,135.0165863,126.075264,115.1128693,103.0309677,106.0994797,602.460144,637.6826172,612.8630981,544.4736328,432.3268433,31.56438446,33.40977859,32.10942078,28.52632713,22.65067863,8.550395012,7.520542622,8.285386086,7.493927956,7.974544048
NP202200000003,NPGE81FL,NP,2022,3,NP2022DHS,3388.106934,2604.88501,2715.007568,2505.189453,2769.92041,85.60644531,62.15596771,84.06028748,67.81118774,77.61538696,25.97906494,24.99299812,25.06873894,24.31696892,23.77726746,10.41001129,10.47841454,10.94746876,10.93083096,10.37941265,5,681.022583,0.318305045,0.309233159,0.316544294,0.339460462,0.379636467,4.034908772,3.260140181,3.705036163,4.454041004,3.866001129,39.89867783,12,6.852106094,19.54581451,19.88148689,20.17133713,19.6550045,18.94487572,88.26625061,51.60597992,56.57846832,18.73737907,9.33452034,19.86658096,20.42563629,21.30965042,19.93968391,19.75652504,14.63991642,15.15693092,15.7992487,14.44495106,14.53083038,9.454861641,9.94583416,10.36043072,9.007493973,9.375391006,0,13.11256313,14.76997662,15.27393532,14.99304199,14.11248302,2.394748211,2.37274313,2.513310194,2.355251789,2.397063017,205.0058899,147.4801636,211.269577,159.7124176,186.0489655,1632.930786,1288.14624,1497.588623,1385.803467,1495.364014,14.90974712,16.8656826,21.59495544,24.60787392,25.95808792,26.96155167,26.79949188,26.82280159,25.97060013,24.10216331,19.86400986,15.90536308,122.0048828,399.0809937,300.7393799,257.4970398,207.3936768,215.1404114,2483.021484,2628.122803,2525.77124,2243.868408,1781.65332,129.8469696,137.4348907,132.0825348,117.3407211,93.1696701,7.784390926,6.615736485,7.324896812,6.400336742,6.907926559
NP202200000004,NPGE81FL,NP,2022,4,NP2022DHS,3690.758789,3309.237549,3735.732422,3404.98877,3433.372314,86.64621735,63.5320282,85.3748703,69.52941895,79.23065186,21.48293877,21.2846756,21.98440933,20.42557907,20.26812172,10.03637123,10.09920502,10.56488705,10.54081345,10.00124454,5,1498.651245,0.352189779,0.359630674,0.37560004,0.400523573,0.442178816,3.302903652,2.527159929,3.00799036,3.703608274,3.115882397,34.68819809,12,5.643556595,15.40004349,15.8185358,16.54685211,15.34877872,15.24377728,66.05525208,17.53116798,54.88391113,21.8789711,4.757540226,20.14631271,20.70653915,21.58577919,20.21830177,20.05138969,15.10701656,15.62746048,16.2672596,14.91970539,15.01507568,10.10993958,10.60733604,11.02089119,9.677488327,10.05014515,0,9.317146301,10.35239601,11.10929394,10.27197933,10.21943283,2.388411522,2.364742517,2.505902767,2.350072384,2.394936323,206.9468231,150.2368927,213.9411316,163.3991547,189.7523651,1556.110596,1262.158691,1485.483398,1412.808594,1528.856934,10.59567547,12.0463028,15.65493584,18.51562119,19.85706902,21.41290092,21.49997711,21.42572212,20.56523895,18.92486954,14.94615936,11.73676968,87.04882813,419.8022156,380.5750427,335.3014221,280.8761597,265.5696106,3102.816162,3285.073242,3157.992188,2806.248535,2228.73291,162.1976929,171.7250671,165.0819855,146.6948242,116.5055618,7.83059597,6.620418072,7.304762363,6.363366604,6.861639023
NP202200000005,NPGE81FL,NP,2022,5,NP2022DHS,12945.9375,5510.746582,2516.788818,1138.710571,495.5154419,62.23205185,45.09115601,61.03523636,47.05518341,55.51602936,22.36103439,21.96341515,22.01817131,20.92702484,20.33510399,12.68262386,12.78631401,13.28211784,13.26102448,12.69127655,5,1424.053711,0.357909232,0.348615289,0.354982823,0.390752316,0.410943985,12.59386635,11.91740608,11.84293938,12.9085474,12.63415527,29.14566422,12,1.191776037,13.68291664,14.64695549,14.72633076,14.18497658,13.36952496,46.67578888,109.393074,64.76573181,16.52443314,2.010901928,14.88373852,15.46854782,16.34218788,15.0453558,14.75513649,8.514627457,9.042404175,9.670718193,8.385025978,8.391145706,2.189656019,2.667433262,3.033622742,1.776374578,2.048741341,0,5.004797935,7.330497742,7.434490681,7.442928314,6.403945923,2.428920746,2.399783134,2.506799936,2.450853586,2.420847893,151.1567383,108.2089996,153.0031281,115.3253632,134.3958588,1601.124146,1277.934326,1430.302368,1436.662109,1395.099976,9.723557472,11.20822144,14.9361105,18.05679512,19.26665688,21.14713478,20.85342026,20.93502426,19.92930222,18.03082466,13.86298084,10.77103043,257.7880859,2136.696045,850.244812,337.4487305,130.0684662,53.51846313,10705.30859,4881.887695,2021.405029,773.6917725,264.6668091,560.8777466,255.774231,105.9064331,40.5356369,13.86655235,8.396137238,7.551747322,8.300213814,7.696934223,8.123892784
NP202200000006,NPGE81FL,NP,2022,6,NP2022DHS,11664.0957,5274.57959,2237.810791,1039.05249,461.7380676,64.83181763,47.10700607,63.66923904,49.16534424,58.02196121,19.2751503,18.95361137,18.82322884,17.46468735,17.2695179,12.39266491,12.49574661,12.99079895,12.96640587,12.40125847,5,1514.937622,0.344317049,0.331632823,0.345469624,0.375290781,0.398640037,11.17753887,10.45510006,10.49652767,11.49251747,11.19281197,30.65224075,12,1.014560819,11.78126907,12.05008698,12.21460056,11.50055599,11.22810745,40.60250473,110.0939407,17.46509361,12.19361591,3.102514267,15.81649303,16.40078163,17.27170181,15.98224831,15.69006157,9.590755463,10.11922741,10.74687481,9.467925072,9.472743034,3.414453506,3.892925262,4.2578125,3.009331942,3.276432276,0,4.287386417,5.146562576,5.60597229,5.536423683,5.186697006,2.427387238,2.39761281,2.507899284,2.44388032,2.419140577,157.3719177,112.9443588,159.6760406,120.154213,140.3632813,1638.195068,1309.399658,1450.004883,1484.656494,1430.747314,10.06913376,11.59616375,15.35426617,18.54053879,19.72038651,21.36091995,21.15464973,21.21592903,20.23887062,18.40128136,14.30901527,11.13547611,261.3085938,2159.067139,813.8069458,309.6808472,118.6850891,49.87031174,12641.35742,5764.774414,2386.975098,913.6135254,312.5316467,662.0619507,301.916748,125.0123138,47.84840012,16.36812401,8.17563343,7.361145496,8.08203125,7.494865417,7.922061443
NP202200000007,NPGE81FL,NP,2022,7,NP2022DHS,2734.865234,2400.165039,2590.804932,2463.932617,2455.77124,59.53193665,42.98999405,58.06740189,44.27925491,52.95933533,18.07659149,18.26843643,18.64812469,16.78375053,16.7506218,12.0584631,12.16067696,12.66093826,12.66953182,12.07226563,5,2065.288086,0.346685797,0.34631303,0.345302612,0.370084882,0.402863443,6.447070122,5.867512703,5.979166508,6.797030926,6.534479141,26.39167976,10,1.632381678,11.55465889,11.90796852,12.46432304,11.32625008,10.99848843,39.15003204,58.62307739,35.30075836,6.936036587,14.76164436,20.20885468,20.7497406,21.62239647,20.39804649,20.07460976,14.15585995,14.64960957,15.26770878,14.0347662,14.01093769,8.141015053,8.584766388,8.955729485,7.716796875,7.992578506,0,5.032727242,5.547499657,6.280520916,5.868750095,5.246355057,2.558463573,2.537369728,2.665885448,2.571484327,2.551953077,152.3102875,109.0815125,154.8010406,113.8634109,135.1497345,1596.376953,1262.37561,1364.816772,1496.878906,1421.456543,8.417189598,9.802359581,13.54712677,16.55516052,17.9557724,19.7638607,19.34152985,19.3038063,18.52040291,16.62034988,12.41039467,9.422632217,167.3242188,363.5855103,303.4159546,271.5899963,226.1950531,211.958847,2648.342773,2728.745605,2552.87085,2207.718506,1706.378662,138.7008362,142.9117584,133.7007141,115.6241608,89.36764526,6.992473602,6.331979275,6.962239265,6.40467453,6.813293934
NP202200000008,NPGE81FL,NP,2022,8,NP2022DHS,2554.012695,2118.077637,2293.673584,2170.210205,2148.858643,61.52222824,44.73244095,60.56267166,46.54743195,55.78971863,25.78933144,25.0097332,25.72899246,23.60038185,23.65836906,11.38583565,11.49134827,11.98385429,11.98376751,11.3946619,5,1354.551758,0.332625955,0.328148037,0.329859316,0.356952429,0.385082811,3.371740341,2.677102089,3.31328702,3.650526524,3.272627354,30.1450901,10,3.611890316,19.82038879,19.63387108,20.73282433,19.23974609,19.11892891,55.10717392,131.6479492,96.70464325,37.33023834,9.068053246,22.26880836,22.82740211,23.6925354,22.46801186,22.15036201,16.55290794,17.05638123,17.67557907,16.44743919,16.4296875,10.88193035,11.33540249,11.70549774,10.48305893,10.75455761,0,13.85144424,14.25800896,15.73665428,14.87910938,14.57948875,2.605743647,2.584071159,2.709056854,2.605107069,2.587080479,160.3111572,115.5918121,164.0677185,121.2610397,144.332489,1587.803223,1211.313721,1307.061523,1506.032837,1423.383789,11.41519356,13.26732349,17.69014168,21.19897652,22.46760559,23.59538651,23.33042145,23.4351902,22.4685173,20.35904503,16.20871544,12.5069952,158.5732422,329.7626038,267.7559509,234.1938934,199.2306061,185.4690857,2567.026611,2644.960693,2474.48584,2139.931641,1653.985107,134.2399292,138.3154144,129.4006195,111.9054565,86.49339294,6.501536369,5.927997589,6.496428967,5.993141174,6.394943237
NP202200000009,NPGE81FL,NP,2022,9,NP2022DHS,3783.940186,3486.13916,3314.931396,3165.321533,2997.691406,75.4981308,55.11785507,74.24169159,58.19091797,68.13006592,18.99602318,18.7921524,19.08506966,17.43968773,17.05482483,11.35052109,11.44461823,11.93276978,11.9010849,11.35082436,5,1758.61731,0.351299405,0.367346525,0.378690958,0.390672743,0.432556748,6.720637798,5.880151749,6.247478008,7.059006214,6.647204876,28.4146347,12,1.418597937,12.74880695,12.51683998,13.32255173,12.0443058,11.82777596,46.86881638,99.75196075,29.77944374,19.42473793,6.320123672,18.56380272,19.14253616,20.01046181,18.71896744,18.44552994,12.85646725,13.38528633,14.01545143,12.73441887,12.75386333,7.209722519,7.693749905,8.066102028,6.815364838,7.090321541,0,6.501590729,6.241527557,7.560034752,6.648923397,6.600727558,2.406206608,2.377604246,2.501736164,2.397960186,2.401345491,181.6641083,131.0484467,185.7331238,139.5394897,163.6038208,1523.629883,1212.211914,1392.045776,1295.004761,1329.577759,8.641545296,9.981546402,13.5225668,16.3736496,17.61480522,19.41932678,19.32699585,19.29385948,18.40916824,16.74522591,12.66734505,9.711809158,463.546875,524.8093262,436.7966919,358.5275574,286.3887939,255.0158691,3696.661621,3701.033936,3364.44458,2827.175781,2123.288574,193.3855286,193.6142578,176.006073,147.8996277,111.0767822,7.648962498,6.8236413,7.482338905,6.860116959,7.306549072
NP202200000010,NPGE81FL,NP,2022,10,NP2022DHS,3654.69165,3442.781494,3265.423096,3081.546143,2891.498291,71.06356812,51.88048935,69.91330719,54.31790161,63.96165466,23.07237434,22.52820587,22.4763298,20.99785805,20.43706703,11.78396988,11.8843174,12.3768959,12.34480572,11.79078388,5,1409.341675,0.359559983,0.371021479,0.376043499,0.405868471,0.435670584,8.453128815,7.634888649,7.898603916,8.773094177,8.415341377,34.94668961,12,2.430097342,16.25483513,15.65171909,16.27734947,15.49041748,14.69854164,45.13257599,143.1301422,30.29437637,17.13012505,7.096575737,17.51848984,18.10237312,18.96876526,17.68733978,17.39689064,11.59382248,12.12472534,12.75237274,11.48114872,11.48786163,5.729166985,6.211111069,6.575274944,5.338918209,5.599088669,0,9.437297821,8.775231361,10.07836819,9.982974052,8.960015297,2.413411379,2.3828125,2.500115871,2.41714406,2.40600419,171.5056305,123.6214676,174.7913666,131.2941895,153.8920135,1687.861816,1326.180786,1499.959961,1421.441406,1415.613403,9.900653839,11.4186554,15.20848179,18.35110474,19.53559113,20.97133827,20.95721436,20.89964294,19.99244118,18.20401001,14.16409969,10.98067379,261.6738281,513.6889648,431.3641663,358.5568237,278.8090515,245.9819336,3392.224854,3396.237061,3087.367188,2594.344971,1948.426147,177.5260773,177.7360535,161.5718994,135.7704468,101.9674301,7.802941322,7.023713589,7.695826054,7.124113083,7.556511879
